region1,region,service,time,elos_achievable,elos,,,,,,,,,,,,,,,,,,
Wlgtn Western Suburbs,Wellington Western Suburbs,power,2,1,Households use from local sources and response priority sites use own pre-arranged power supply for essential functions.,,,,,,,,,,,,,,,,,,
Karori,Karori,power,2,1,Households use from local sources and response priority sites use own pre-arranged power supply for essential functions.,,,,,,,,,,,,,,,,,,
Wlgtn RORO&CBD,Wellington RORO & CBD,power,2,1,Households use from local sources and response priority sites use own pre-arranged power supply for essential functions.,,,,,,,,,,,,,,,,,,
Newtown,Newtown,power,2,1,Households use from local sources and response priority sites use own pre-arranged power supply for essential functions.,,,,,,,,,,,,,,,,,,
Wlgtn Southern Suburbs,Wellington Southern Suburbs,power,2,1,Households use from local sources and response priority sites use own pre-arranged power supply for essential functions.,,,,,,,,,,,,,,,,,,
Wlgtn Airport,Wellington Airport,power,2,1,Households use from local sources and response priority sites use own pre-arranged power supply for essential functions.,,,,,,,,,,,,,,,,,,
Miramar,Miramar,power,2,1,Households use from local sources and response priority sites use own pre-arranged power supply for essential functions.,,,,,,,,,,,,,,,,,,
Upper Hutt CBD,Petone,power,2,1,Households use from local sources and response priority sites use own pre-arranged power supply for essential functions.,,,,,,,,,,,,,,,,,,
Stokes Valley,Lower Hutt,power,2,1,Households use from local sources and response priority sites use own pre-arranged power supply for essential functions.,,,,,,,,,,,,,,,,,,
Western Hutt Hills,Seaview Fuel Terminal,power,2,1,Households use from local sources and response priority sites use own pre-arranged power supply for essential functions.,,,,,,,,,,,,,,,,,,
Lower Hutt,Eastbourne,power,2,1,Households use from local sources and response priority sites use own pre-arranged power supply for essential functions.,,,,,,,,,,,,,,,,,,
Petone,Wainuiomata,power,2,1,Households use from local sources and response priority sites use own pre-arranged power supply for essential functions.,,,,,,,,,,,,,,,,,,
Wainuiomata,Western Hutt Hills,power,2,1,Households use from local sources and response priority sites use own pre-arranged power supply for essential functions.,,,,,,,,,,,,,,,,,,
Seaview Fuel Terminal,Upper Hutt,power,2,1,Households use from local sources and response priority sites use own pre-arranged power supply for essential functions.,,,,,,,,,,,,,,,,,,
Eastbourne,Stokes Valley,power,2,1,Households use from local sources and response priority sites use own pre-arranged power supply for essential functions.,,,,,,,,,,,,,,,,,,
Wairarapa,Wairarapa,power,2,1,Households use from local sources and response priority sites use own pre-arranged power supply for essential functions.,,,,,,,,,,,,,,,,,,
Kapiti Coast,Kapiti Coast,power,3,1,Households use from local sources and response priority sites use own pre-arranged power supply for essential functions.,,,,,,,,,,,,,,,,,,
Porirua North,Porirua North,power,3,1,Households use from local sources and response priority sites use own pre-arranged power supply for essential functions.,,,,,,,,,,,,,,,,,,
Titahi Bay,Porirua CBD,power,3,1,Households use from local sources and response priority sites use own pre-arranged power supply for essential functions.,,,,,,,,,,,,,,,,,,
Porirua CBD,Titahi Bay,power,3,1,Households use from local sources and response priority sites use own pre-arranged power supply for essential functions.,,,,,,,,,,,,,,,,,,
Porirua East,Tawa,power,3,1,Households use from local sources and response priority sites use own pre-arranged power supply for essential functions.,,,,,,,,,,,,,,,,,,
Tawa 'CBD',Porirua East,power,3,1,Households use from local sources and response priority sites use own pre-arranged power supply for essential functions.,,,,,,,,,,,,,,,,,,
Johnsonville CBD,Johnsonville,power,3,1,Households use from local sources and response priority sites use own pre-arranged power supply for essential functions.,,,,,,,,,,,,,,,,,,
