dest_type,lat,lon,label,address,1,2,3,4,5,nearest_priority_road,dist_to_priority_road,suburb_resupply_day,comments
supermarket,-41.12107485,174.8672412,Countdown Aotea,"3 Whitford Brown Ave, Ascot Park, Porirua, 5024, NZL",3,1,1,1,1,2,50,7,Close to a priority 2 road.  
supermarket,-41.19876541,174.9473569,Four Square Naenae,"30 Hillary Ct, Naenae, Lower Hutt, 5011, NZL",3,3,3,2,1,3,500,10/90,"Road vulnerability mapping shows roads in the area are likely to be less impacted, so once access to the priority 3 road is achieved, access to the supermarket is likely to be relatively soon after. Hutt Valley access is weather dependent until 'day 90'."
supermarket,-40.93643201,174.9773853,Four Square Raumati South,"30 Poplar Ave, Raumati South, Paraparaumu, 5032, NZL",3,1,1,1,1,1,1000,7,Road vulnerability mapping shows single lane access to a priority 1 road. 
supermarket,-41.29637075,174.7705786,Four Square Shalimar,"308 Willis St, Aro Valley, Wellington, 6011, NZL",3,3,1,1,1,1,0,10,Close to a priority 1 road.
supermarket,-41.20978254,174.9082628,Countdown Queensgate,"35 Bloomfield Ter, Hutt Central, Lower Hutt, 5010, NZL",3,3,2,2,1,2,0,10/90,Close to a priority 2 road. Hutt Valley access is weather dependent until 'day 90'.
supermarket,-41.32296859,174.831122,Four Square Seatoun Discount,"35 Falkirk Ave, Seatoun, Wellington, 6022, NZL",3,3,3,1,1,3,0,14,Close to a priority 3 road. 
supermarket,-41.18600076,174.9284851,Four Square Kelson,"35 Major Dr, Kelson, Lower Hutt, 5010, NZL",3,3,3,3,1,1,600,90/90,
supermarket,-41.16949071,174.8267628,New World Tawa,"37 Oxford St, Tawa, Wellington, 5028, NZL",3,1,1,1,1,2,100,7,Adjacent to priority 2 road. 
supermarket,-41.27426298,174.7789913,New World Thorndon,"41 Murphy St, Thorndon, Wellington, 6011, NZL",3,3,1,1,1,1,100,10,Close to priority 1 road.
supermarket,-40.75247032,175.1389769,Four Square Otaki,"42 Main St, Otaki, 5512, NZL",3,1,1,1,1,2,0,7,Close to priority 2 road.
supermarket,-41.22338835,174.871908,Countdown Petone,"45 Jackson St, Petone, Lower Hutt, 5012, NZL",3,3,3,2,1,2,100,21/90,Close to priority 2 road. Hutt Valley access is weather dependent until 'day 90'.
supermarket,-41.31945678,174.7945201,Countdown Kilbirnie,"47 Bay Rd, Kilbirnie, Wellington, 6022, NZL",3,3,1,1,1,1,200,14,Close to priority 2 road. Road vulnerability mapping indicates that road access from priority road to supermarket should be good. 
supermarket,-41.20907785,174.9077917,New World Hutt City,"47 Waterloo Rd, Hutt Central, Lower Hutt, 5010, NZL",3,3,2,2,1,2,100,10/90,Close to a priority 2 road. Hutt Valley access is weather dependent until 'day 90'.
supermarket,-41.31574314,174.8148171,New World Miramar,"48 Miramar Ave, Miramar, Wellington, 6022, NZL",3,3,3,1,1,3,200,14,Close to a priority 3 road. 
supermarket,-40.91925067,174.9814331,Four Square Raumati Village,"5 Margaret Rd, Raumati Beach, Paraparaumu, 5032, NZL",3,1,1,1,1,3,0,7,Road vulnerability mapping shows single lane access to a priority 1 road. 
supermarket,-40.87501384,175.0652452,New World Waikanae,"5 Parata St, Waikanae, 5036, NZL",3,1,1,1,1,1,0,7,Close to a priority 1 road.
supermarket,-41.32452815,174.8206524,Four Square Strathmore,"502 Broadway, Strathmore Park, Wellington, 6022, NZL",3,3,3,1,1,3,0,14,Close to a priority 3 road. 
supermarket,-41.22368027,174.8073224,Countdown Johnsonville,"57 Johnsonville Rd, Johnsonville, Wellington, 6037, NZL",3,1,1,1,1,1,300,7,Close to a priority 1 road. Road vulnerability mapping indicates that road access to the priority 1 road should be good. 
supermarket,-41.33477954,174.7728274,New World Island Bay,"6 Medway St, Island Bay, Wellington, 6023, NZL",3,3,3,1,1,3,50,10,Close to a priority 3 road. 
supermarket,-41.02591262,175.5265531,New World Carterton,"60 High St S, Carterton, 5713, NZL",3,3,3,1,1,1,0,21,
supermarket,-41.10814189,174.8433226,Four Square Morere,"64A Morere St, Titahi Bay, Porirua, 5022, NZL",3,1,1,1,1,2,200,7,Road vulnerability mapping indicates that access to the prioity 2 road should be good. 
supermarket,-41.20270238,174.8086258,New World Churton Park,"69 Lakewood Ave, Churton Park, Wellington, 6037, NZL",3,3,1,1,1,1,1000,7,"1km from a priority road, so assume that it will take additional time to recover access to the priority road."
supermarket,-40.75313592,175.1406543,Countdown Otaki,"69 Mill Rd, Otaki, 5512, NZL",3,1,1,1,1,2,0,7,Close to priority 2 road.
supermarket,-41.30750934,174.7780027,Four Square Newtown,"7 Riddiford St, Newtown, Wellington, 6021, NZL",3,3,1,1,1,1,0,14,Close to priority 1 road.
supermarket,-41.20732835,174.9513171,Four Square Seddon Street,"70 Seddon St, Naenae, Lower Hutt, 5011, NZL",3,3,3,2,1,3,500,10/90,"Road vulnerability mapping shows roads in the area are likely to be less impacted, so once access to the priority 3 road is achieved, access to the supermarket is likely to be relatively soon after. Hutt Valley access is weather dependent until 'day 90'."
supermarket,-41.28798687,174.7752842,New World Metro,"70 Willis St, Wellington Central, Wellington, 6011, NZL",3,3,3,3,1,1,400,10,"Although close to a Priority 1 road, this supermarket is located within an area of multi-storey buildings. This lowers the likelihood of unimpeded access post-earthquake event."
supermarket,-41.3182391,174.7965327,Pak'N Save Kilbirnie,"78 Rongotai Rd, Kilbirnie, Wellington, 6022, NZL",3,3,1,1,1,1,100,14,Close to a priority 1 road.
supermarket,-41.13435993,174.8418619,Countdown Porirua,"8 Lyttelton Ave, Porirua City Centre, Porirua, 5022, NZL",3,1,1,1,1,1,200,7,Road vulnerability mapping indicates that access to the prioity 1 road should be good. 
supermarket,-41.0940575,174.8689638,New World Paremata,"93-97 Mana Espl, Paremata, Porirua, 5026, NZL",3,1,1,1,1,1,100,7,Close to priority 1 road.
supermarket,-41.28893455,174.761976,Four Square Kelburn,"97A Upland Rd, Kelburn, Wellington, 6012, NZL",3,3,3,1,1,3,0,10,Close to priority 3 road.
supermarket,-40.94819023,175.6664326,New World Masterton,"2 Dixon St, Masterton, 5810, NZL",3,3,3,1,1,1,200,21,
supermarket,-41.2239469,174.8739783,Pak'N Save Petone,"136 Jackson St, Petone, Lower Hutt, 5012, NZL",3,3,3,2,1,2,100,21/90,Close to priority 2 road. Hutt Valley access is weather dependent until 'day 90'.
supermarket,-41.17463451,174.9811912,New World Stokes Valley,"14 Evans St, Stokes Valley, Lower Hutt, 5019, NZL",3,3,2,2,1,2,0,10/90,Close to priority 2 road. Hutt Valley access is weather dependent until 'day 90'.
supermarket,-40.9575811,175.6491921,Pak'N Save Masterton,"432 Queen St, Masterton, 5810, NZL",3,3,3,1,1,1,100,21,
supermarket,-40.92318801,174.9918185,Countdown Paraparaumu,"Kapiti Expy, Paraparaumu, 5032, NZL",3,1,1,1,1,1,100,7,Close to priority 1 road.
fuel_station,-40.76066796,175.1574728,BP Connect Otaki,250 Main Rd. Otaki,3,3,3,3,1,,,,
fuel_station,-40.907441,174.9991717,BP Connect Kapiti,"108 Kapiti Road, Kapiti",3,3,3,3,1,,,,
fuel_station,-40.91557903,175.0068257,BP Connect Paraparaumu,"Amohia Street, Paraparaumu",3,2,2,1,1,1,0,7,"Priority fuel station. Fuel only available while stocks allow. No generator on-site, so fuel commences from when generator can be installed. "
fuel_station,-40.906587,174.997453,Z Kapiti Road,"Cnr Kapiti Rd and Milne Dr, Paraparaumu",3,3,3,3,1,,,,
